ICAOIATAKEY,ICAOCODE,IATACODE,DESCRIPTION,LAT,LON
2901,VNBW,BWA,BHAIRAHAWA,27.505703,83.41625
3016,YBWX,BWB,BARROW ISLAND,-20.798,115.406
1797,EDVE,BWE,BRAUNSCHWEIG,52.319167,10.556111
440,EGNL,BWF,BARROW WALNEY IS.,54.131167,-3.263667
3245,WMKB,BWH,BUTTERWORTH,5.465917,100.391167
3703,LDSB,BWK,BRAC,43.285719,16.679719
352,4O3,BWL,BLACKWELL-TONKAWA MUN,,
1937,OK56,BWL,BLACKWELL-TONKAWA MUN,,
887,WBSB,BWN,BRUNEI INTL,4.9442,114.928353
3010,YBRW,BWQ,BREWARRINA,,
4070,YWYY,BWT,WYNYARD,-40.9989,145.731
2307,YSBK,BWU,SYDNEY BANKSTOWN,-33.924444,150.988333
3906,MUBR,BWW,LAS BRUJAS,,
3417,GOTB,BXE,BAKEL,14.847256,-12.468264
224,UAAH,BXH,BALKHASH,46.893333,75.005
1779,DIBI,BXI,BOUNDIALI,,
3519,LTBV,BXN,BODRUM IMSIK,37.140144,27.669717
3390,GGOV,BXO,BISSAU OSWALDO V,11.89485,-15.653681
154,OIKM,BXR,BAM,29.084169,58.450042
692,L08,BXS,BORREGO VALLEY,,
3151,RPME,BXU,BUTUAN,8.951322,125.477972
1917,PBYA,BYA,BOUNDARY,,
2733,SLYA,BYC,YACUIBA,-21.960925,-63.651669
1780,DIBK,BYK,BOUAKE,7.7388,-5.073667
304,MUBY,BYM,BAYAMO,20.396331,-76.621494
3938,ZMBH,BYN,BAYANKHONGOR,46.1633,100.704
3903,SBDB,BYO,BONITO,,
1306,EIBN,BYT,BANTRY,,
2186,EDQD,BYU,BAYREUTH BINDLACHE,49.984428,11.638569
3009,YBRN,BZD,BALRANALD,,
1025,MZBZ,BZE,GOLDSON,17.539144,-88.308203
947,EPBY,BZG,BYDGOSZCZ SZWEDEROWO,53.0968,17.9777
3511,LTBF,BZI,BALIKESIR,39.619258,27.925958
1391,UUBP,BZK,BRYANSK,53.214194,34.176447
2896,VGBR,BZL,BARISAL,22.801,90.3012
1528,LIPB,BZO,BOLZANO,46.460194,11.326383
847,LFMU,BZR,BEZIERS VIAS,43.323522,3.353903
2514,FZKJ,BZU,BUTA-ZEGA,2.818347,24.793706
3859,FCBB,BZV,BRAZZAVILLE,-4.2517,15.253031
481,EGVN,BZZ,BRIZE NORTON,51.749964,-1.583617
1243,FNCA,CAB,CABINDA,-5.596992,12.188353
2579,SBCA,CAC,CASCAVEL,-25.000339,-53.500764
2366,LIEE,CAG,CAGLIARI-ELMAS,39.251469,9.054283
933,HECA,CAI,CAIRO INTL,30.121944,31.405556
2788,SVCN,CAJ,CANAIMA,6.231989,-62.854433
2346,ZGGG,CAN,GUANGZHOU BAIYUN,23.392436,113.298786
301,MTCH,CAP,CAP HAITIEN,19.732989,-72.194739
3400,GMMC,CAS,CASABLANCA ANFA,,
1011,MYCB,CAT,NEW BIGHT,24.315292,-75.452331
1244,FNCZ,CAV,CAZOMBO,,
2586,SBCP,CAW,CAMPOS-BARTOLOMEU LISANDRO,-21.698333,-41.301669
419,EGNC,CAX,CARLISLE,54.9375,-2.809167
2742,SOCA,CAY,CAYENNE,4.819808,-52.360447
3021,YCBA,CAZ,COBAR,-31.5383,145.794
2723,SLCB,CBB,COCHABAMBA-JORGE WILSTERMAN,-17.421058,-66.177114
2621,VOCX,CBD,CAR NICOBAR,9.152508,92.819628
467,EGSC,CBG,CAMBRIDGE,52.205,0.175
1147,DAOR,CBH,BOUDGHENE BEN ALI LOTFI,31.6457,-2.26986
1577,DAOC,CBH,BECHAR OUKDA,,
3541,MDCR,CBJ,CABO ROJO,17.928981,-71.644769
2787,SVCB,CBL,CIUDAD BOLIVAR,8.121898,-63.537353
3149,RPMC,CBO,COTABATO,7.165242,124.209619
1790,DNCA,CBQ,CALABAR,4.976019,8.347197
33,YSCB,CBR,CANBERRA,-35.306944,149.195
2149,EDCD,CBU,COTTBUS-DREWITZ,51.889475,14.531986
3029,YCDO,CBX,CONDOBOLIN,,
306,MUCC,CCC,CAYO COCO/JARDINES DEL REY,22.460986,-78.328422
195,TFFG,CCE,ST MARTIN I-GRAND CASE,18.099914,-63.047197
839,LFMK,CCF,CARCASSONNE SALVAZA,43.215978,2.306317
2620,VOCL,CCJ,CALICUT KARIPUR,11.136839,75.9553
20,YPCC,CCK,COCOS-KEELING,-12.1883,96.8339
3026,YCCA,CCL,CHINCHILLA,,
2585,SBCM,CCM,FORQUILHINHA-CRICIUMA,-28.725817,-49.424739
3356,SCIE,CCP,CONCEPCION,-36.77265,-73.063106
172,SVMI,CCS,MAIQUETIA SIMON BOLIVAR,10.603117,-66.990583
1452,VECC,CCU,KOKATA NETAJI SUBHASH CHANDRA,22.654739,88.446722
3053,YCWL,CCW,COWELL,,
189,SWKC,CCX,CACERES,,
1007,MYBC,CCZ,CHUB CAY INTL,25.417108,-77.88085
3045,YCOO,CDA,COOINDA,-12.9033,132.532
53,PACD,CDB,COLD BAY,55.206061,-162.725436
866,LFPG,CDG,PARIS DE GAULLE,49.012779,2.55
2567,SBAA,CDJ,CONCEICAO DO ARAGUAIA,-8.348347,-49.301528
3048,YCRY,CDQ,CROYDON,,
2308,YSCN,CDU,CAMDEN,-34.040278,150.687222
57,PACV,CDV,MERLE K (MUDHOLE) SMITH,60.491778,-145.477556
3031,YCDU,CED,CEDUNA,-32.1306,133.71
3935,ULWC,CEE,CHEREPOVETS,,
442,EGNR,CEG,HAWARDEN,53.178056,-2.977778
2645,VTCT,CEI,CHIANG RAI,19.952342,99.882928
400,USCC,CEK,CHELYABINSK BALANDINO,55.305836,61.503333
1918,PCEM,CEM,CENTRAL,,
1952,PACE,CEM,CENTRAL,65.573889,-144.780833
3564,MMCN,CEN,CIUDAD OBREGON,27.392639,-109.833111
836,LFMD,CEQ,CANNES MANDELIEU,43.54205,6.953478
879,LFRC,CER,CHERBOURG MAUPERTUS,49.650106,-1.470281
3041,YCNK,CES,CESSNOCK,-32.7875,151.342
862,LFOU,CET,CHOLET LE PONTREAU,47.082136,-0.877064
4023,SBCB,CFB,CABO FRIO,-22.921667,-42.074167
821,LFLC,CFE,CLERMONT-FERRAND,45.786661,3.169169
307,MUCF,CFG,CIENFUEGOS,22.15,-80.414167
1919,PCFK,CFK,CHEFORNAK AIRPORT,,
1309,EIDL,CFN,DONEGAL,55.044192,-8.341
3605,LFRK,CFR,CAEN CARPIQUET,49.173333,-0.45
34,YSCH,CFS,COFFS HARBOUR,-30.320556,153.116389
3033,YCFS,CFS,COFFS HARBOUR,,
3646,LGKR,CFU,KERKIRA,39.601944,19.911667
2589,SBCY,CGB,CUIABA-MARECHAL RONDON,-15.652931,-56.116719
3324,SBSP,CGH,SAO PAULO CONGOHAS INTL,-23.626692,-46.655375
895,WIII,CGK,JAKARTA-SOEKARNO H,-6.125567,106.655897
2157,EDDK,CGN,KOLN-BONN,50.865917,7.142744
2352,ZHCC,CGO,ZHENGZHOU XINSHENG,34.519672,113.840889
1474,VGEG,CGP,CHITTAGONG SHAH AMANAT,22.249611,91.813286
2962,ZYCC,CGQ,CHANGCHUN/DAFANGSHEN,43.5412,125.1201
2581,SBCG,CGR,CAMPO GRANDE,-20.468667,-54.6725
176,SVPR,CGU,GUAYANA-PUERTO ORDAZ,8.288528,-62.760361
3018,YCAG,CGV,CAIGUNA,,
3155,RPML,CGY,CAGAYAN DE ORO,8.415619,124.611219
1056,NZCH,CHC,CHRISTCHURCH,-43.489358,172.532225
2746,SPEO,CHM,CHIMBOTE-TENIENTE J MORALES,-9.149614,-78.52385
1920,PCHP,CHP,CIRCLE HOT SPRINGS,,
3659,LGSA,CHQ,CHANIA SOUDA,35.531747,24.149678
833,LFLX,CHR,CHATEAUROUX DEOLS,46.862194,1.730667
1057,NZCI,CHT,CHATHAM ISLE,-43.81,-176.457222
1544,LIRA,CIA,ROME CIAMPINO,41.799361,12.594936
2724,SLCO,CIJ,COBIJA,-11.040436,-68.782972
54,PACI,CIK,CHALKYITSIK,66.645,-143.74
1921,PCIK,CIK,CHALKYITSIK,,
4091,FLCP,CIP,CHIPATA,-13.5583,32.5872
1922,PCIS,CIS,CANTON ISLAND-TOPHAM,-2.768122,-171.710394
228,UAII,CIT,KAZAKHSTAN SHYMKENT,42.364167,69.478889
2747,SPHI,CIX,CHICLAYO-J A GONZALES,-6.787475,-79.828097
190,SWKO,CIZ,COARI,-4.085,-63.140833
2753,SPJR,CJA,MAJ GEN FAP ARMANDO R IGLESIAS,-7.139183,-78.4894
2618,VOCB,CJB,COIMBATORE,11.030031,77.043383
3346,SCCF,CJC,CALAMA-EL LOA,-22.498175,-68.903575
3126,RKTU,CJJ,CHONGJU,36.7166,127.499119
2908,OPCH,CJL,CHITRAL,35.886592,71.800578
2380,VTSE,CJM,CHUMPHON,10.7112,99.361706
3566,MMCS,CJS,CIUDAD JUAREZ ABRA GONZALEZ,31.636133,-106.428667
3117,RKPC,CJU,CHEJU INTL,33.511306,126.493028
1923,PCJX,CJX,CROOKED CREEK AIRPORT,,
2042,UKKE,CKC,CHERKASY,49.416666,32.1333
2956,ZUCK,CKG,CHONGQING JIANGBEI,29.719217,106.641678
3036,YCKI,CKI,CROKER ISLAND,,
2584,SBCJ,CKS,PARAUAPEBAS CKS,-6.11781,-50.0035
158,OIMC,CKT,SARAKHS,36.501178,61.064903
55,PACK,CKU,CORDOVA MUNI,60.149167,-164.285556
3428,GUCY,CKY,CONAKRY,9.576889,-13.611961
3513,LTBH,CKZ,CANAKKALE,40.137722,26.426777
1473,VGCM,CLA,COMILLA,,
1291,EGYC,CLF,COLTISHALL,,
3019,YCAH,CLH,COOLAH,,
3476,LRCL,CLJ,CLUJ-NAPOCA,46.785167,23.686167
2583,SBCI,CLN,CAROLINA,-7.320444,-47.458667
2684,SKCL,CLO,CALI,3.543222,-76.381583
1924,PCLP,CLP,CLARKS POINT AIRPORT,,
1980,PFCL,CLP,CLARKS POINT AIRPORT,,
3576,MMIA,CLQ,COLIMA,19.277011,-103.577397
4024,SBCN,CLV,CALDAS NOVAS,-17.7267,-48.6114
814,LFKC,CLY,CALVI ST.CATHERINE,42.530753,8.793189
3039,YCMU,CMA,CUNNAMULLA,-28.03,145.622
2894,VCPI,CMB,COLOMBO,,
1442,VCBI,CMB,BANDARANAIKE INTL COLOMBO,7.180756,79.884117
3050,YCTM,CMD,COOTAMUNDRA,,
3561,MMCE,CME,CIUDAD DEL CARMEN,18.653739,-91.799017
820,LFLB,CMF,CHAMBERY AIX LES BAINS,45.63805,5.880225
2587,SBCR,CMG,CORUMBA INTL,-19.011931,-57.673053
3040,YCMW,CML,CAMOOWEAL,,
3405,GMMN,CMN,CASABLANCA MHMD V,33.367467,-7.589967
3038,YCMT,CMQ,CLERMONT,,
805,LFGA,CMR,COLMAR HOUSSEN,48.109853,7.359011
309,MUCM,CMW,CAMAGUEY,21.420428,-77.847433
3042,YCNM,CNB,COONAMBLE,-30.9833,148.376
3027,YCCT,CNC,COCONUT ISLAND,-10.05,143.07
3475,LRCK,CND,CONSTANTA-MIHAIL KOGALNICEANU,44.362222,28.488333
342,1V6,CNE,FREMONT CO,,
2580,SBCF,CNF,BELO HORIZONTE TANCREDO NEVES,-19.63375,-43.968856
779,LFBG,CNG,COGNAC CHATEAUBERNARD,45.658333,-0.3175
3028,YCCY,CNJ,CLONCURRY,-20.6686,140.504
1330,EKSN,CNL,SINDAL,57.503525,10.229372
487,BGCO,CNP,NERLERIT INAAT,70.7433,-22.6606
3196,SARC,CNQ,CORRIENTES,-27.445503,-58.761864
3359,SCRA,CNR,CHANARAL,,
3266,YBCS,CNS,CAIRNS,-16.885833,145.755278
2640,VTCC,CNX,CHIANG MAI INT,18.766847,98.962644
731,O22,COA,COLUMBIA,,
3177,SAAC,COC,CONCORDIA-COM JJ PIERRESTEGUI,-31.296944,-57.996631
1453,VECO,COH,COOCHBEHAR,26.330508,89.467203
3022,YCBB,COJ,COONABARABRAN,,
2371,VOCC,COK,COCHIN,,
2619,VOCI,COK,COCHIN INTL,10.155556,76.391389
1770,DBBB,COO,COTONOU,6.357228,2.384353
3939,ZMCD,COQ,DORNOD,48.1357,114.646
3183,SACO,COR,CORDOBA,-31.323619,-64.207953
1003,MYAK,COX,ANDROS-CONGO TOWN,24.158933,-77.589758
2566,SAZY,CPC,SAN MARTIN DE LOS ANDES,-40.075383,-71.137294
3024,YCBP,CPD,COOBER PEDY,-29.04,134.721
3565,MMCP,CPE,CAMPECHE,19.816794,-90.500314
1322,EKCH,CPH,COPENHAGEN KASTRUP,55.617917,12.655972
3355,SCHA,CPO,COPIAPO-CHAMONATE,-27,-70
4035,SCAT,CPO,DESIERTO DE ATACAMA,,
3809,FACT,CPT,CAPETOWN INTL,-33.964806,18.601667
3287,SBKG,CPV,CAMPINA GRANDE-JOAO SUASSUNA,-7.269917,-35.896364
202,TJCP,CPX,BENJAMIN RIVERA NORIEGA,18.3127,-65.3034
743,OIFS,CQD,SHAHRE KORD,32.2972,50.8422
772,LFAC,CQF,CALAIS DUNKERQUE,50.962097,1.954764
697,LERL,CQM,CIUDAD REAL/CENTRAL,38.856389,-3.97
3478,LRCV,CRA,CRAIOVA,44.318139,23.888611
3025,YCBR,CRB,COLLARENEBRI,,
2691,SKGO,CRC,CARTAGO-SANTA ANA,4.758181,-75.955753
3143,RPLC,CRK,CLARKFIELD PAMPANGA CLARK INTL,15.185833,120.560278
2143,EBCI,CRL,CHARLEROI BRUSSELS SOUTH,50.459197,4.453817
3169,RPVF,CRM,CATARMAN,12.502417,124.635778
3208,SAVC,CRO,COMODORO RIVADAVIA,-45.785347,-67.465508
4025,SBCV,CRQ,CARAVELAS,-17.652283,-39.253069
3671,LIBC,CRV,CROTONE,38.997225,17.080169
2063,UTAV,CRZ,TURKMENABAT,39.083333,63.613333
3477,LRCS,CSB,CARANSEBES,45.42,22.253333
865,LFPC,CSF,CREIL,49.253547,2.519139
3020,YCAS,CSI,CASINO,,
3413,GOGS,CSK,CAP SKIRING,12.4102,-16.746125
3227,EDBC,CSO,COCHSTEDT/SCHNEIDLINGEN,51.855833,11.418333
2347,ZGHA,CSX,CHANGSHA/HUANGHUA,28.189158,113.219633
1552,UWKS,CSY,CHEBOKSARY,56.0903,47.3473
3679,LICC,CTA,CATANIA FONTANARROSA,37.466781,15.0664
3189,SANC,CTC,CATAMARCA,-28.593214,-65.750925
2683,SKCG,CTG,CARTAGENA,10.442381,-75.512961
349,40N,CTH,CHESTER CO CARLSON,,
3267,YBCV,CTL,CHARLEVILLE,-26.413334,146.2625
3563,MMCM,CTM,CHETUMAL,18.504667,-88.326847
3037,YCKN,CTN,COOKTOWN,-15.4447,145.184
276,RJCC,CTS,NEW CHITOSE,42.7752,141.692283
844,LFMQ,CTT,LE CASTELLET,43.252506,5.785189
2957,ZUUU,CTU,CHENGDU,30.578528,103.947086
723,N03,CTX,CORTLAND CO-CHASE,,
2682,SKCC,CUC,CUCUTA,7.927567,-72.511547
3030,YCDR,CUD,CALOUNDRA,,
3368,SECU,CUE,CUENCA-MARISCAL LAMAR,-2.889467,-78.984397
1526,LIMZ,CUF,CUNEO/LEVALDIGI,44.547019,7.623217
3051,YCUA,CUG,CUDAL,,
3562,MMCL,CUL,CULIACAN,24.764547,-107.474717
165,SVCU,CUM,CUMANA,10.450333,-64.130472
283,MMUN,CUN,CANCUN,21.036528,-86.877083
2789,SVCP,CUP,GEN JOSE FRANCISCO BERMUDEZ,10.660014,-63.261681
3043,YCOE,CUQ,COEN,-13.7608,143.114
214,TNCC,CUR,CURACAO,12.188853,-68.959803
3567,MMCU,CUU,CHIHUAHUA GEN DIV P A ROBERTO,28.702875,-105.964567
3052,YCUE,CUY,CUE,,
2765,SPZO,CUZ,VELAZCO AZTETE-CUZCO,-13.535722,-71.938781
3032,YCEE,CVC,CLEVE,,
3559,MMCB,CVJ,CUERNAVACA,18.834764,-99.2613
3568,MMCV,CVM,CIUDAD VICTORIA,23.703336,-98.956486
3,YCAR,CVQ,CARNARVON,-24.8806,113.672
1856,EGBE,CVT,COVENTRY,52.369722,-1.479722
703,LPCR,CVU,CORVO,39.6715,-31.1136
2588,SBCT,CWB,CURITIBA,-25.528475,-49.175775
2046,UKLN,CWC,CHERNIVTSI,48.259322,25.980831
1876,EGFF,CWL,CARDIFF,51.396667,-3.343333
3054,YCWR,CWT,COWRA,,
3046,YCOR,CWW,COROWA,,
1472,VGCB,CXB,COX'S BAZAR,21.452194,91.963889
1925,PCXF,CXF,COLDFOOT,,
1953,PACX,CXF,COLDFOOT,,
2864,PLCH,CXI,CHRISTMAS ISL KIRIBATI,1.986161,-157.349778
4026,SBCX,CXJ,CAMPO DOS BUGRES,-29.197064,-51.187536
3448,HCMC,CXN,CANDALA,,
2391,VVCR,CXR,CAM RANH,11.998153,109.219372
3035,YCHT,CXT,CHARTERS TOWERS,,
1000,MWCB,CYB,CAYMAN-GERRARD SMITH,19.686981,-79.882789
3047,YCRG,CYG,CORRYONG,,
1744,RCKU,CYI,CHIAYI,23.461779,120.39283
308,MUCL,CYO,CAYO LARGO DEL SUR,21.616453,-81.545989
2773,SUCA,CYR,COLONIA,-34.4564,-57.7706
3166,RPUY,CYZ,CAUAYAN,16.929861,121.753036
720,MMCT,CZA,CHICHEN-ITZA,,
2790,SVCR,CZE,CORO,11.414867,-69.681656
1574,DABC,CZL,MOHAMMED BOUDIAF,36.276028,6.620386
3569,MMCZ,CZM,COZUMEL,20.522403,-86.925644
2590,SBCZ,CZS,CRUZEIRO DO SUL,-7.599906,-72.769489
2686,SKCZ,CZU,COROZAL-LAS BRUJAS,9.332742,-75.285594
592,YUNY,CZY,CLUNY,,
1481,VGZR,DAC,DHAKA ZIA,23.843333,90.397781
3914,VGHS,DAC,HAZRAT SHAHJALAL INTL,,
2661,VVDN,DAD,DANANG,16.043917,108.19937
934,HEDK,DAK,DAKHLA,,
3897,OSDI,DAM,DAMASCUS INTL,33.410636,36.514267
1125,HTDA,DAR,DAR-ES-SALAAM,-6.878111,39.202625
4072,AYDU,DAU,DARU,-9.08676,143.208
291,MPDA,DAV,DAVID/ENRIQUE MALIK,8.391003,-82.434992
2909,OPDB,DBA,DALBANDIN,28.8783,64.3998
4094,HEAL,DBB,AL ALAMAIN INTL,30.15,28.0833
655,HADM,DBM,DEBRE MARKOS,10.316667,37.733333
1888,YSDU,DBO,DUBBO-NSW,-32.216667,148.574722
656,HADT,DBT,DEBRE TABOR,11.966667,38
1107,LDDU,DBV,DUBROVNIK,42.561353,18.268244
3055,YDAY,DBY,DALBY,,
2365,LIED,DCI,DECIMOMANNU,39.354222,8.972481
796,LFCK,DCM,CASTRES MAZAMET,43.55625,2.289183
4064,YCIN,DCN,CURTIN,,
3060,YDLT,DDN,DELTA DOWNS,,
3667,LHDC,DEB,DEBRECEN,47.488917,21.615333
3696,VIDN,DED,DEHRADUN,30.189689,78.180256
2447,OIAD,DEF,DEZFUL AB,32.434444,48.39764
2600,VIDP,DEL,DELHI INDIRA GANDH,28.5665,77.103088
654,HADD,DEM,Dembi Dollo,8.554,34.858
3898,OSDZ,DEZ,DEIR ZZOR,35.285374,40.175961
2235,YMDG,DGE,MUDGEE,-32.5625,149.611
1954,PADG,DGG,RED DOG,,
3570,MMDO,DGO,DURANGO,24.124194,-104.528014
1080,OEDR,DHA,DHAHRAN/KING ABDUL,26.265417,50.152027
3066,YDRH,DHD,DURHAM DOWNS,,
1939,OMAM,DHF,ABU DHABI-AL DHAFRA AB,24.248249,54.547722
1298,EHKD,DHR,DEN HELDER DE KOOY,52.923353,4.780625
1464,VEMN,DIB,DIBRUGARH,27.483853,95.016922
1227,FMNA,DIE,ANTSIRANANA ARRACHART,-12.3494,49.291747
3616,LFSD,DIJ,DIJON LONGVIC,47.26889,5.09
4062,WPDL,DIL,PRES NICOLAU LOBATO INTL,-8.546553,125.524719
3925,VVDB,DIN,DIEN BIEN PHU,21.397481,103.007831
3441,HADR,DIR,DIRE DAWA,9.6247,41.854203
3521,LTCC,DIY,DIYARBAKIR,37.893897,40.201019
3211,WIPA,DJB,SULTAN THAHA,-1.638017,103.644378
2135,DTTJ,DJE,DJERBA ZARZIS,33.875031,10.775461
1569,DAAJ,DJG,DJANET TISKA,24.292767,9.452444
2680,WAJJ,DJJ,JAYAPURA SENTANI,-2.576953,140.516372
48,PABI,DJN,DELTA JUNCTION-ALLEN AAF,63.994547,-145.721642
1781,DIDL,DJO,DALOA,6.792808,-6.473189
3415,GOOY,DKR,DAKAR SEDAR SENGHOR,14.739708,-17.490225
3068,YDVR,DKV,DOCKER RIVER,,
1197,FKKD,DLA,DOUALA,4.006081,9.719481
2967,ZYTL,DLC,DALIAN ZHOUSHUIZI,38.965667,121.5386
1347,ENDI,DLD,DAGALI,60.416667,8.512778
807,LFGJ,DLE,DOLE TAVAUX,47.039014,5.42725
60,PADL,DLG,DILLINGHAM,59.044667,-158.5055
3518,LTBS,DLM,DALAMAN,36.713056,28.7925
3061,YDLV,DLV,DELISSAVILLE,,
3940,ZMDZ,DLZ,GURVANSAIKHAN,43.5917,104.43
2016,UADD,DMB,AULIE-ATA,42.853611,71.303611
3062,YDMG,DMD,DOOMADGEE,-17.9403,138.822
1392,UUDD,DME,MOSCOW DOMODEDOVO,55.408611,37.906111
1079,OEDF,DMM,DAMMAM-KING FAHD INTERNATIONAL,26.471161,49.79789
1465,VEMR,DMU,DIMAPUR,25.8839,93.7711
684,HSDZ,DMZ,DAMAZIN,11.785889,34.336656
3130,RODN,DNA,KADENA,26.355612,127.767633
369,BGDB,DNB,DANNEBORG,,
3057,YDBR,DNBY,DUNBAR,,
458,EGPN,DND,DUNDEE,56.452499,-3.025833
257,UKDD,DNK,DNEPROPETROVSK,48.357222,35.100556
3059,YDLQ,DNQ,DENILIQUIN,,
3598,LFRD,DNR,DINARD PLEURTUIT,48.587683,-2.079958
3508,LTAY,DNZ,DENIZLI-CARDAK AB,37.785567,29.701297
1126,HTDO,DOD,DODOMA,-6.170436,35.752578
1111,HSDN,DOG,DONGOLA,19.153867,30.430094
163,OTBD,DOH,DOHA INTL,25.261125,51.565056
256,UKCC,DOK,DONETSK,48.073611,37.739722
3601,LFRG,DOL,DEAUVILLE ST.GATIEN,49.365339,0.154306
3907,TDPD,DOM,MELVILLE HALL,15.547028,-61.3
2766,SSDO,DOU,DOURADOS,-22.220833,-54.805833
771,LFAB,DPE,DIEPPE ST.AUBIN,,
3152,RPMG,DPL,DIPOLOG,8.601261,123.334481
4,YDPO,DPO,DEVONPORT,-41.1697,146.43
2679,WADD,DPS,BALI INTL,-8.748169,115.167172
2976,WRRR,DPS,DEN PASAR (Bali int.),,
730,NV65,DRA,MERCURY,,
3058,YDBY,DRB,DERBY,-17.39,123.68
3064,YDOR,DRD,DORUNDA,,
2978,Y66,DRE,DRUMMOND I,,
58,PADE,DRG,DEERING,66.0696,-162.766
3056,YDBI,DRN,DIRRANBANDI,,
3067,YDRI,DRR,DURRIE,,
2151,EDDC,DRS,DRESDEN,51.132767,13.767161
21,YPDN,DRW,DARWIN,-12.4083333,130.87266
1862,EGCN,DSA,DONCASTER SHEFFIELD,53.474722,-1.004444
2006,TFFA,DSD,DESIRADE GRANDE ANSE,16.2969,-61.0844
653,HADC,DSE,DESSIE,11.0825,39.7114
2910,OPDI,DSK,DERA ISMAIL KHAN,31.909422,70.896639
2180,EDLW,DTM,DORTMUND WICKEDE,51.518314,7.612242
1310,EIDW,DUB,DUBLIN,53.421333,-6.270075
1058,NZDN,DUD,DUNEDIN,-45.928055,170.198333
3810,FADN,DUR,DURBAN INTL,-29.970089,30.950519
3932,FALE,DUR,KING SHAKA INTL,,
2158,EDDL,DUS,DUSSELDORF,51.289453,6.766775
382,CDK2,DVK,DIAVIK,,
3150,RPMD,DVO,FRANCISCO BANGOY,7.125522,125.645778
3065,YDPD,DVP,DAVENPORT DOWNS,,
897,OMDW,DWC,AL MAKTOUM INTL,24.55056,55.103174
734,OEDM,DWD,PRINCE SALMAN BIN ABDULAZIZ,,
1152,OMDB,DXB,DUBAI,25.252778,55.364444
3069,YDYS,DYA,DYSART,,
246,UHMA,DYR,ANADYR,64.73495,177.741483
410,UTDD,DYU,DUSHANBE,38.543333,68.825
1218,FMCZ,DZA,DZAOUDZI,-12.804722,45.281113
229,UAKD,DZN,ZHEZKAZGAN,47.708333,67.733333
2774,SUDU,DZO,SANTA BERNARDINA-DURAZNO,-33.358867,-56.499172
663,HAME,DZT,HARRAR MEDA,,
1089,OENG,EAM,NEJRAN,17.611436,44.419169
760,LESO,EAS,SAN SEBASTIAN,43.356519,-1.790611
1546,LIRJ,EBA,MARINA DI CAMPO,42.760277,10.239445
1137,HUEN,EBB,ENTEBBE,0.042386,32.443503
1118,HSOB,EBD,EL OBEID,13.153219,30.232675
2687,SKEB,EBG,EL BAGRE,7.596389,-74.808889
4084,DAOY,EBH,EL BAYADH,,
1323,EKEB,EBJ,ESBJERG,55.525942,8.553403
1947,ORER,EBL,ERBIL INTL,36.237611,43.963158
2136,DTTR,EBM,EL BORMA,31.704281,9.254619
837,LFMH,EBU,ST.ETIENNE BOUTHEON,45.540554,4.296389
359,6D9,ECA,IOSCO CO,,
3070,YECH,ECH,ECHUCA,,
1102,LCEN,ECN,ERCAN,35.1547,33.4961
63,PAED,EDF,ELMENDORF AIR FORCE BASE,61.250986,-149.806503
453,EGPH,EDI,EDINBURGH,55.95,-3.3725
319,HKEL,EDL,ELDORET,0.404458,35.238928
3603,LFRI,EDM,LA ROCHE SUR YON,46.701944,-1.378625
3535,LTFD,EDO,BALIKESIR EDREMIT KORFEZ,39.5546,27.0138
3908,YPMP,EDR,PORMPURAAW,-14.8967,141.609
1926,PEEK,EEK,EEK,,
1955,PAEE,EEK,EEK,60.213611,-162.043889
3642,LGKF,EFL,KEFALLINIA,38.120069,20.500481
778,LFBE,EGC,BERGERAC ROUMANIER,44.825279,0.518611
667,HANG,EGL,NEGELLE,,
1113,HSGN,EGN,GENEINA,13.4817,22.4672
1394,UUOB,EGO,BELGOROD,50.6438,36.5901
499,BIEG,EGS,EGILSSTADIR,65.283333,-14.401389
86,PAII,EGX,EGEGIK,58.185556,-157.375556
64,PAEH,EHM,CAPE NEWENHAM LRRS,58.646428,-162.062778
2169,EDGE,EIB,EISENACH-KINDEL,50.992797,10.472711
65,PAEI,EIL,EIELSON AIR FORCE BASE,64.665667,-147.1015
1296,EHEH,EIN,EINDHOVEN,51.450139,5.374528
2014,TUPJ,EIS,BEEF I INTL,18.444834,-64.542975
2688,SKEJ,EJA,BARRANCABERMEJA,7.024331,-73.8068
1485,OEWJ,EJH,WEJH,26.198553,36.476381
3782,ESSU,EKT,ESKILSTUNA(MIL),59.351078,16.7084
3071,YELD,ELC,ELCHO ISLAND,-12.0194,135.571
1112,HSFS,ELF,EL FASHER,13.614892,25.32465
1586,DAUE,ELG,EL GOLEA,30.571294,2.859586
1013,MYEH,ELH,NORTH ELEUTHERA,25.474861,-76.683489
625,FAER,ELL,MATIMBA,,
1082,OEGS,ELQ,GASSIM,26.302822,43.773911
3811,FAEL,ELS,EAST LONDON,-33.035569,27.825939
1766,DAUO,ELU,EL OUED,33.5114,6.77679
446,EGNX,EMA,NOTTINGHAM EAST MIDLANDS,52.831111,-1.328056
3072,YEML,EMD,EMERALD,-23.5675,148.179167
1801,EDWE,EME,EMDEN,53.391186,7.227408
66,PAEM,EMK,EMMONAK,62.786111,-164.490833
3945,LSME,EML,EMMEN MIL,47.092369,8.305117
3422,GQNI,EMN,NEMA,16.622,-7.316567
67,PAEN,ENA,KENAI MUNICIPAL,60.573111,-151.245
3621,LFSN,ENC,NANCY ESSEY,48.692069,6.230458
